src_ip,dst_ip,protocol,length,ttl,label,src_port,dst_port,tcp_flags
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
10.0.0.1,10.0.0.2,1,98,64,normal,0,0,0
10.0.0.2,10.0.0.1,1,98,64,normal,0,0,0
